ingredient_name,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,sodium_per_100mg
"hummus, commercial",229.0,7.35,14.9,17.1,438.0
"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",50.0,3.35,4.91,1.9,39.0
"tomatoes, grape, raw",27.0,0.83,5.51,0.63,6.0
"beans, snap, green, canned, regular pack, drained solids",21.0,1.04,4.11,0.39,282.0
"broccoli, raw",32.0,2.57,6.29,0.34,36.0
"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",43.0,3.38,5.19,0.95,39.0
"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",34.0,3.43,4.89,0.08,41.0
"milk, whole, 3.25% milkfat, with added vitamin d",60.0,3.28,4.67,3.2,38.0
"frankfurter, beef, unheated",314.0,11.7,2.89,28.0,872.0
"nuts, almonds, dry roasted, with salt added",620.0,20.4,16.2,57.8,256.0
"cheese, ricotta, whole milk",157.0,7.81,6.86,11.0,105.0
"kale, raw",35.0,2.92,4.42,1.49,53.0
"egg, whole, raw, frozen, pasteurized",150.0,12.3,0.91,10.3,121.0
"egg, white, raw, frozen, pasteurized",48.0,10.1,0.74,0.16,144.0
"egg, white, dried",376.0,79.9,6.02,0.65,1250.0
"sauce, salsa, ready-to-serve",29.0,1.44,6.74,0.19,656.0
"sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,13.3,3.37,28.7,866.0
"onion rings, breaded, par fried, frozen, prepared, heated in oven",288.0,4.52,36.3,14.4,374.0
"pickles, cucumber, dill or kosher dill",12.0,0.48,1.99,0.43,808.0
"peanut butter, smooth style, with salt",597.0,22.5,22.3,51.1,429.0
"cheese, parmesan, grated",421.0,29.6,12.4,28.0,1750.0
"cheese, pasteurized process, american, vitamin d fortified",366.0,18.0,5.27,30.6,1660.0
"grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,7.59,0.7,1.0
"peaches, yellow, raw",42.0,0.91,10.1,0.27,13.0
"seeds, sunflower seed kernels, dry roasted, with salt added",612.0,21.0,17.1,56.1,532.0
"sausage, italian, pork, mild, cooked, pan-fried",322.0,18.2,2.15,26.2,766.0
"bread, white, commercially prepared",270.0,9.43,49.2,3.59,477.0
"sausage, turkey, breakfast links, mild, raw",169.0,16.7,0.93,10.4,599.0
"cheese, swiss",393.0,27.0,1.44,31.0,185.0
"kale, frozen, cooked, boiled, drained, without salt",36.0,2.94,5.3,1.21,16.0
"carrots, frozen, unprepared (includes foods for usda's food distribution program)",37.0,0.81,7.92,0.47,66.0
"mustard, prepared, yellow",61.0,4.25,5.3,3.38,1100.0
"figs, dried, uncooked",249.0,3.3,63.9,0.92,10.0
"kiwifruit, green, raw",58.0,1.06,14.0,0.44,5.0
"melons, cantaloupe, raw",34.0,0.82,8.16,0.18,30.0
"nectarines, raw",39.0,1.06,9.18,0.28,13.0
"oranges, raw, navels (includes foods for usda's food distribution program)",47.0,0.91,11.8,0.15,9.0
"strawberries, raw",31.0,0.64,7.63,0.22,10.0
"lettuce, cos or romaine, raw",17.0,1.24,3.24,0.26,0.0
"cheese, cheddar",408.0,23.3,2.44,34.0,654.0
"cheese, cottage, lowfat, 2% milkfat",84.0,11.0,4.31,2.3,321.0
"cheese, mozzarella, low moisture, part-skim",298.0,23.7,4.44,20.4,699.0
"egg, whole, dried",575.0,48.1,1.87,39.8,485.0
"egg, yolk, raw, frozen, pasteurized",296.0,15.6,0.59,25.1,66.0
"egg, yolk, dried",654.0,34.2,1.07,55.5,149.0
"cheese, dry white, queso seco",326.0,24.5,2.07,24.3,1810.0
"yogurt, greek, plain, nonfat",61.0,10.3,3.64,0.37,36.0
"yogurt, greek, strawberry, nonfat",83.0,8.06,12.2,0.15,32.0
"oil, coconut",833.0,0.0,0.84,99.1,0.0
"turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,0.0,11.6,90.0
"chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,0.0,5.95,117.0
"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166.0,32.1,0.0,3.24,47.0
"sauce, pasta, spaghetti/marinara, ready-to-serve",45.0,1.41,8.05,1.48,419.0
"ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106.0,16.7,0.27,3.73,1040.0
"pears, raw, bartlett (includes foods for usda's food distribution program)",57.0,0.38,15.1,0.16,7.0
"olives, green, manzanilla, stuffed with pimiento",130.0,1.15,4.96,12.9,1620.0
"sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,2.63,28.1,983.0
"cookies, oatmeal, soft, with raisins",430.0,5.79,69.6,14.3,314.0
"tomatoes, canned, red, ripe, diced",18.0,0.84,3.32,0.5,125.0
"fish, haddock, raw",74.0,16.3,0.0,0.45,213.0
"fish, pollock, raw",56.0,12.3,0.0,0.41,333.0
"fish, tuna, light, canned in water, drained solids",90.0,19.0,0.08,0.94,219.0
"sugars, granulated",385.0,0.0,99.6,0.32,1.0
"restaurant, chinese, sweet and sour pork",260.0,8.88,25.5,13.6,304.0
"restaurant, chinese, fried rice, without meat",174.0,3.84,32.5,3.19,361.0
"restaurant, latino, tamale, pork",174.0,7.38,15.8,9.04,473.0
"restaurant, latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,31.5,9.01,305.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.8,0.0,6.39,45.0
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,0.0,6.36,54.0
"beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,0.0,2.48,50.0
"beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,23.7,0.0,2.41,55.0
"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,0.0,11.4,67.0
"beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,0.0,5.32,43.0
"bread, whole-wheat, commercially prepared",254.0,12.3,43.1,3.55,450.0
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,0.0,6.36,54.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.8,0.0,6.39,45.0
"beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,0.0,2.48,50.0
"beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,23.7,0.0,2.41,55.0
"beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,0.0,5.32,43.0
"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,0.0,11.4,67.0
"carrots, frozen, unprepared",37.0,0.81,7.92,0.47,66.0
"cheese, dry white, queso seco",326.0,24.5,2.07,24.3,1810.0
"cheese, ricotta, whole milk",157.0,7.81,6.86,11.0,105.0
"cheese, swiss",393.0,27.0,1.44,31.0,185.0
"figs, dried, uncooked",249.0,3.3,63.9,0.92,10.0
"lettuce, cos or romaine, raw",17.0,1.24,3.24,0.26,0.0
"melons, cantaloupe, raw",34.0,0.82,8.16,0.18,30.0
"oranges, raw, navels",47.0,0.91,11.8,0.15,9.0
"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",43.0,3.38,5.18,0.95,39.0
"pears, raw, bartlett",57.0,0.38,15.1,0.16,7.0
"restaurant, chinese, sweet and sour pork",260.0,8.88,25.5,13.6,304.0
"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",34.0,3.43,4.92,0.08,41.0
"sauce, salsa, ready-to-serve",29.0,1.44,6.74,0.19,656.0
"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",50.0,3.36,4.9,1.9,39.0
"sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,13.3,3.37,28.7,866.0
"sausage, italian, pork, mild, cooked, pan-fried",322.0,18.2,2.15,26.2,766.0
"sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,2.63,28.1,983.0
"milk, whole, 3.25% milkfat, with added vitamin d",60.0,3.27,4.63,3.2,38.0
"sausage, turkey, breakfast links, mild, raw",169.0,16.7,0.93,10.4,599.0
"sugars, granulated",385.0,0.0,99.6,0.32,1.0
"turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,0.0,11.6,90.0
"ham, sliced, restaurant",121.0,19.6,2.36,3.68,1030.0
"cheese, american, restaurant",375.0,17.5,6.35,31.1,1600.0
